 ticker |     metric_name     | fiscal_year |  metric_value  
 MSFT   | net_income          |        2025 | 101832000000.0
 MSFT   | operating_income    |        2021 |  69916000000.0
 MSFT   | operating_income    |        2022 |  83383000000.0
 MSFT   | operating_income    |        2022 |  83383000000.0
 MSFT   | operating_income    |        2023 |  88523000000.0
 MSFT   | operating_income    |        2023 |  88523000000.0
 MSFT   | operating_income    |        2023 |  88523000000.0
 MSFT   | operating_income    |        2024 | 109433000000.0
 MSFT   | operating_income    |        2024 | 109433000000.0
 MSFT   | operating_income    |        2025 | 128528000000.0
 MSFT   | revenue             |        2021 | 168088000000.0
 MSFT   | revenue             |        2022 | 198270000000.0
 MSFT   | revenue             |        2022 | 198270000000.0
 MSFT   | revenue             |        2023 | 211915000000.0
 MSFT   | revenue             |        2023 | 211915000000.0
 MSFT   | revenue             |        2023 | 211915000000.0
 MSFT   | revenue             |        2024 | 245122000000.0
 MSFT   | revenue             |        2024 | 245122000000.0
 MSFT   | revenue             |        2025 | 281724000000.0
 MSFT   | stockholders_equity |        2021 | 141988000000.0
 MSFT   | stockholders_equity |        2022 | 166542000000.0
 MSFT   | stockholders_equity |        2022 | 166542000000.0
 MSFT   | stockholders_equity |        2023 | 206223000000.0
 MSFT   | stockholders_equity |        2023 | 206223000000.0
 MSFT   | stockholders_equity |        2023 | 206223000000.0
 MSFT   | stockholders_equity |        2024 | 268477000000.0
 MSFT   | stockholders_equity |        2024 | 268477000000.0
 MSFT   | stockholders_equity |        2025 | 343479000000.0
 MSFT   | total_debt          |        2022 |  49781000000.0
 MSFT   | total_debt          |        2023 |  47237000000.0
 MSFT   | total_debt          |        2023 |  47237000000.0
 MSFT   | total_debt          |        2024 |  44937000000.0
 MSFT   | total_debt          |        2024 |  44937000000.0
 MSFT   | total_debt          |        2025 |  43151000000.0
 NVDA   | net_income          |        2022 |   9752000000.0
 NVDA   | net_income          |        2023 |   4368000000.0
 NVDA   | net_income          |        2024 |  29760000000.0
 NVDA   | operating_income    |        2022 |  10041000000.0
 NVDA   | operating_income    |        2023 |   4224000000.0
 NVDA   | operating_income    |        2024 |  32972000000.0
 NVDA   | revenue             |        2022 |  26914000000.0
 NVDA   | revenue             |        2023 |  26974000000.0
 NVDA   | revenue             |        2024 |  60922000000.0
 NVDA   | stockholders_equity |        2021 |  16893000000.0
 NVDA   | stockholders_equity |        2022 |  26612000000.0
 NVDA   | stockholders_equity |        2023 |  22101000000.0
 NVDA   | stockholders_equity |        2024 |  42978000000.0
 NVDA   | total_debt          |        2023 |  10953000000.0
 NVDA   | total_debt          |        2024 |   9709000000.0
 TSLA   | net_income          |        2021 |   5519000000.0
 TSLA   | net_income          |        2022 |  12556000000.0
 TSLA   | net_income          |        2022 |  12556000000.0
 TSLA   | net_income          |        2023 |  14997000000.0
 TSLA   | net_income          |        2023 |  14997000000.0
 TSLA   | net_income          |        2023 |  14997000000.0
 TSLA   | net_income          |        2024 |   7091000000.0
 TSLA   | net_income          |        2024 |   7091000000.0
 TSLA   | net_income          |        2025 |   3794000000.0
 TSLA   | operating_income    |        2021 |   6523000000.0
 TSLA   | operating_income    |        2022 |  13656000000.0
 TSLA   | operating_income    |        2022 |  13656000000.0
 TSLA   | operating_income    |        2023 |   8891000000.0
 TSLA   | operating_income    |        2023 |   8891000000.0
 TSLA   | operating_income    |        2023 |   8891000000.0
 TSLA   | operating_income    |        2024 |   7076000000.0
 TSLA   | operating_income    |        2024 |   7076000000.0
 TSLA   | operating_income    |        2025 |   4355000000.0
 TSLA   | revenue             |        2021 |  53823000000.0
 TSLA   | revenue             |        2022 |  81462000000.0
 TSLA   | revenue             |        2022 |  81462000000.0
 TSLA   | revenue             |        2023 |  96773000000.0
 TSLA   | revenue             |        2023 |  96773000000.0
 TSLA   | revenue             |        2023 |  96773000000.0
 TSLA   | revenue             |        2024 |  97690000000.0
 TSLA   | revenue             |        2024 |  97690000000.0
 TSLA   | revenue             |        2025 |  94827000000.0
 TSLA   | stockholders_equity |        2022 |  44704000000.0
 TSLA   | stockholders_equity |        2023 |  62634000000.0
 TSLA   | stockholders_equity |        2023 |  62634000000.0
 TSLA   | stockholders_equity |        2024 |  72913000000.0
 TSLA   | stockholders_equity |        2024 |  72913000000.0
 TSLA   | stockholders_equity |        2025 |  82137000000.0
 TSLA   | total_debt          |        2022 |   1016000000.0
 TSLA   | total_debt          |        2023 |   1975000000.0
 TSLA   | total_debt          |        2023 |   1975000000.0
 TSLA   | total_debt          |        2024 |   2343000000.0
 TSLA   | total_debt          |        2024 |   2343000000.0
 TSLA   | total_debt          |        2025 |   1569000000.0
 XOM    | net_income          |        2021 |  23040000000.0
 XOM    | net_income          |        2022 |  55740000000.0
 XOM    | net_income          |        2022 |  55740000000.0
 XOM    | net_income          |        2023 |  36010000000.0
 XOM    | net_income          |        2023 |  36010000000.0
 XOM    | net_income          |        2023 |  36010000000.0
 XOM    | net_income          |        2024 |  33680000000.0
 XOM    | net_income          |        2024 |  33680000000.0
 XOM    | net_income          |        2025 |  28844000000.0
 XOM    | revenue             |        2021 | 285640000000.0
 XOM    | revenue             |        2022 | 413680000000.0
 XOM    | revenue             |        2022 | 413680000000.0
 XOM    | revenue             |        2023 | 344582000000.0
 XOM    | revenue             |        2023 | 344582000000.0
 XOM    | revenue             |        2023 | 344582000000.0
 XOM    | revenue             |        2024 | 349585000000.0
 XOM    | revenue             |        2024 | 349585000000.0
 XOM    | revenue             |        2025 | 332238000000.0
 XOM    | stockholders_equity |        2022 | 195049000000.0
 XOM    | stockholders_equity |        2023 | 204802000000.0
 XOM    | stockholders_equity |        2023 | 204802000000.0
 XOM    | stockholders_equity |        2024 | 263705000000.0
 XOM    | stockholders_equity |        2024 | 263705000000.0
 XOM    | stockholders_equity |        2025 | 259386000000.0
 XOM    | total_debt          |        2022 |  41193000000.0
 XOM    | total_debt          |        2023 |  41573000000.0
 XOM    | total_debt          |        2023 |  41573000000.0
 XOM    | total_debt          |        2024 |  41710000000.0
 XOM    | total_debt          |        2024 |  41710000000.0
 XOM    | total_debt          |        2025 |  43537000000.0
(240 rows)

